destination,last_updated,details_url
Portugal,2025-03-17T14:12:43+00:00,https://www.gov.uk/foreign-travel-advice/portugal
Qatar,2024-10-26T08:24:15+01:00,https://www.gov.uk/foreign-travel-advice/qatar
Réunion,2025-03-07T12:32:54+00:00,https://www.gov.uk/foreign-travel-advice/reunion
Romania,2025-03-17T14:14:46+00:00,https://www.gov.uk/foreign-travel-advice/romania
Russia,2025-02-12T13:44:31+00:00,https://www.gov.uk/foreign-travel-advice/russia
Rwanda,2025-02-06T11:38:57+00:00,https://www.gov.uk/foreign-travel-advice/rwanda
Samoa,2024-11-22T15:04:32+00:00,https://www.gov.uk/foreign-travel-advice/samoa
San Marino,2024-07-01T11:48:17+01:00,https://www.gov.uk/foreign-travel-advice/san-marino
São Tomé and Principe,2025-02-14T15:30:16+00:00,https://www.gov.uk/foreign-travel-advice/sao-tome-and-principe
Saudi Arabia,2025-03-14T15:43:06+00:00,https://www.gov.uk/foreign-travel-advice/saudi-arabia
Senegal,2024-02-07T14:55:18+00:00,https://www.gov.uk/foreign-travel-advice/senegal
Serbia,2025-03-14T10:12:43+00:00,https://www.gov.uk/foreign-travel-advice/serbia
Seychelles,2025-02-03T14:39:42+00:00,https://www.gov.uk/foreign-travel-advice/seychelles
Sierra Leone,2024-12-09T16:58:36+00:00,https://www.gov.uk/foreign-travel-advice/sierra-leone
Singapore,2024-05-17T16:32:39+01:00,https://www.gov.uk/foreign-travel-advice/singapore
Slovakia,2025-03-17T14:16:11+00:00,https://www.gov.uk/foreign-travel-advice/slovakia
Slovenia,2025-03-17T14:24:20+00:00,https://www.gov.uk/foreign-travel-advice/slovenia
Solomon Islands,2024-12-11T12:29:45+00:00,https://www.gov.uk/foreign-travel-advice/solomon-islands
Somalia,2025-03-28T21:35:00+00:00,https://www.gov.uk/foreign-travel-advice/somalia
South Africa,2025-03-11T12:15:51+00:00,https://www.gov.uk/foreign-travel-advice/south-africa
South Georgia and the South Sandwich Islands,2024-03-12T11:45:29+00:00,https://www.gov.uk/foreign-travel-advice/south-georgia-and-south-sandwich-islands
South Korea,2025-03-25T10:08:53+00:00,https://www.gov.uk/foreign-travel-advice/south-korea
South Sudan,2025-03-27T16:59:36+00:00,https://www.gov.uk/foreign-travel-advice/south-sudan
Spain,2025-03-20T16:44:32+00:00,https://www.gov.uk/foreign-travel-advice/spain
Sri Lanka,2025-02-06T11:46:11+00:00,https://www.gov.uk/foreign-travel-advice/sri-lanka
"St Helena, Ascension and Tristan da Cunha",2025-02-19T16:01:04+00:00,https://www.gov.uk/foreign-travel-advice/st-helena-ascension-and-tristan-da-cunha
St Kitts and Nevis,2024-10-15T12:44:02+01:00,https://www.gov.uk/foreign-travel-advice/st-kitts-and-nevis
St Lucia,2025-01-09T10:04:02+00:00,https://www.gov.uk/foreign-travel-advice/st-lucia
St Maarten,2024-12-17T11:57:53+00:00,https://www.gov.uk/foreign-travel-advice/st-maarten
St Martin and St Barthélemy,2024-09-17T14:00:23+01:00,https://www.gov.uk/foreign-travel-advice/st-martin-and-st-barthelemy
St Pierre & Miquelon,2024-04-18T16:04:22+01:00,https://www.gov.uk/foreign-travel-advice/st-pierre-and-miquelon
St Vincent and the Grenadines,2025-01-08T14:38:07+00:00,https://www.gov.uk/foreign-travel-advice/st-vincent-and-the-grenadines
Sudan,2024-06-19T10:29:45+01:00,https://www.gov.uk/foreign-travel-advice/sudan
Suriname,2024-11-15T16:16:22+00:00,https://www.gov.uk/foreign-travel-advice/suriname
Sweden,2025-03-17T14:28:27+00:00,https://www.gov.uk/foreign-travel-advice/sweden
Switzerland,2025-03-17T14:25:52+00:00,https://www.gov.uk/foreign-travel-advice/switzerland
Syria,2025-03-14T15:06:19+00:00,https://www.gov.uk/foreign-travel-advice/syria
Taiwan,2024-12-13T14:44:47+00:00,https://www.gov.uk/foreign-travel-advice/taiwan
