destination,risk_level,last_updated_advisory,advisory_details_url,risk_level_number,country_info_url,last_updated_country_details
Peru,Level 2: Exercise Increased Caution,2023-11-15T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/peru-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Peru.html,2025-05-15T00:00:00
Philippines,Level 2: Exercise Increased Caution,2025-05-08T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/philippines-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Philippines.html,2025-04-22T00:00:00
Poland,Level 1: Exercise Normal Precautions,2024-05-01T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/poland-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Poland.html,2025-01-21T00:00:00
Portugal,Level 1: Exercise Normal Precautions,2025-03-03T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/portugal-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Portugal.html,2023-06-16T00:00:00
Qatar,Level 1: Exercise Normal Precautions,2023-07-13T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/qatar-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Qatar.html,2025-01-21T00:00:00
Republic of the Congo,Level 2: Exercise Increased Caution,2024-10-02T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/republic-of-the-congo-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/RepublicoftheCongo.html,2023-06-19T00:00:00
Romania,Level 1: Exercise Normal Precautions,2024-08-15T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/romania-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Romania.html,2024-04-01T00:00:00
Russia,Level 4: Do Not Travel,2025-05-08T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/russia-travel-advisory.html,4,,
Rwanda,Level 2: Exercise Increased Caution,2025-02-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/rwanda-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Rwanda.html,2022-04-20T00:00:00
Saba,Level 1: Exercise Normal Precautions,2024-08-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/saba-travel-advisory.html,1,,
Saint Kitts and Nevis,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/saint-kitts-and-nevis-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SaintKittsandNevis.html,2025-01-21T00:00:00
Saint Lucia,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/saint-lucia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SaintLucia.html,2025-01-21T00:00:00
Saint Vincent and The Grenadines,Level 1: Exercise Normal Precautions,2024-12-06T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/saint-vincent-and-the-grenadines.html,1,,
Samoa,Level 1: Exercise Normal Precautions,2025-03-10T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/samoa-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Samoa.html,2025-03-10T00:00:00
Sao Tome and Principe,Level 1: Exercise Normal Precautions,2024-09-25T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sao-tome-and-principe-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SaoTomeandPrincipe.html,2023-08-02T00:00:00
Saudi Arabia,Level 2: Exercise Increased Caution,2024-09-09T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/saudi-arabia-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SaudiArabia.html,2024-01-24T00:00:00
Senegal,Level 1: Exercise Normal Precautions,2024-10-21T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/senegal-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Senegal.html,2021-12-13T00:00:00
Serbia,Level 2: Exercise Increased Caution,2025-04-11T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/serbia-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Serbia.html,2025-04-08T00:00:00
Seychelles,Level 1: Exercise Normal Precautions,2024-08-30T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/seychelles-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Seychelles.html,2024-10-04T00:00:00
Sierra Leone,Level 2: Exercise Increased Caution,2024-09-23T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sierra-leone-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/SierraLeone.html,2025-04-09T00:00:00
Singapore,Level 1: Exercise Normal Precautions,2025-03-05T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/singapore-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Singapore.html,2025-03-05T00:00:00
Sint Eustatius,Level 1: Exercise Normal Precautions,2024-08-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/sint-eustatius-travel-advisory.html,1,,
